item,itemLabel,year,nobelPrizeLabel,article_en,article_ja,pic,sexOrGenderLabel,dateOfBirth,dateOfDeath,countryOfCitizenshipLabel
http://www.wikidata.org/entity/Q68118,エール・サザランド,1971,ノーベル生理学・医学賞,https://en.wikipedia.org/wiki/Earl_Wilbur_Sutherland_Jr.,https://ja.wikipedia.org/wiki/%E3%82%A8%E3%83%BC%E3%83%AB%E3%83%BB%E3%82%B5%E3%82%B6%E3%83%A9%E3%83%B3%E3%83%89,http://commons.wikimedia.org/wiki/Special:FilePath/Earl%20Wilbur%20Sutherland%20Jr.jpg,男性,1915-11-19T00:00:00Z,1974-03-09T00:00:00Z,アメリカ合衆国
http://www.wikidata.org/entity/Q129187,パトリック・ホワイト,1973,ノーベル文学賞,https://en.wikipedia.org/wiki/Patrick_White,https://ja.wikipedia.org/wiki/%E3%83%91%E3%83%88%E3%83%AA%E3%83%83%E3%82%AF%E3%83%BB%E3%83%9B%E3%83%AF%E3%82%A4%E3%83%88,http://commons.wikimedia.org/wiki/Special:FilePath/Patrick%20White%20writer.jpg,男性,1912-05-28T00:00:00Z,1990-09-29T00:00:00Z,オーストラリア
http://www.wikidata.org/entity/Q182964,ニールス・フィンセン,1903,ノーベル生理学・医学賞,https://en.wikipedia.org/wiki/Niels_Ryberg_Finsen,https://ja.wikipedia.org/wiki/%E3%83%8B%E3%83%BC%E3%83%AB%E3%82%B9%E3%83%BB%E3%83%95%E3%82%A3%E3%83%B3%E3%82%BB%E3%83%B3,http://commons.wikimedia.org/wiki/Special:FilePath/Niels%20Ryberg%20Finsen%20portrait.jpg,男性,1860-12-15T00:00:00Z,1904-09-24T00:00:00Z,デンマーク王国
http://www.wikidata.org/entity/Q71023,アルフレッド・カストレル,1966,ノーベル物理学賞,https://en.wikipedia.org/wiki/Alfred_Kastler,https://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%AB%E3%83%95%E3%83%AC%E3%83%83%E3%83%89%E3%83%BB%E3%82%AB%E3%82%B9%E3%83%88%E3%83%AC%E3%83%AB,http://commons.wikimedia.org/wiki/Special:FilePath/Kastler.jpg,男性,1902-05-03T00:00:00Z,1984-01-07T00:00:00Z,フランス
http://www.wikidata.org/entity/Q76487,パウル・フォン・ハイゼ,1910,ノーベル文学賞,https://en.wikipedia.org/wiki/Paul_Heyse,https://ja.wikipedia.org/wiki/%E3%83%91%E3%82%A6%E3%83%AB%E3%83%BB%E3%83%95%E3%82%A9%E3%83%B3%E3%83%BB%E3%83%8F%E3%82%A4%E3%82%BC,http://commons.wikimedia.org/wiki/Special:FilePath/Adolf%20Friedrich%20Erdmann%20von%20Menzel%20042.jpg,男性,1830-03-15T00:00:00Z,1914-04-02T00:00:00Z,プロイセン王国
http://www.wikidata.org/entity/Q76595,クルト・アルダー,1950,ノーベル化学賞,https://en.wikipedia.org/wiki/Kurt_Alder,https://ja.wikipedia.org/wiki/%E3%82%AF%E3%83%AB%E3%83%88%E3%83%BB%E3%82%A2%E3%83%AB%E3%83%80%E3%83%BC,http://commons.wikimedia.org/wiki/Special:FilePath/Kurt%20Alder%20Nobel.jpg,男性,1902-07-10T00:00:00Z,1958-06-20T00:00:00Z,ドイツ
http://www.wikidata.org/entity/Q123280,フランシス・クリック,1962,ノーベル生理学・医学賞,https://en.wikipedia.org/wiki/Francis_Crick,https://ja.wikipedia.org/wiki/%E3%83%95%E3%83%A9%E3%83%B3%E3%82%B7%E3%82%B9%E3%83%BB%E3%82%AF%E3%83%AA%E3%83%83%E3%82%AF,http://commons.wikimedia.org/wiki/Special:FilePath/Francis%20Crick%201995.jpg,男性,1916-06-08T00:00:00Z,2004-07-28T00:00:00Z,イギリス
http://www.wikidata.org/entity/Q130113,ロバート・ホフスタッター,1961,ノーベル物理学賞,https://en.wikipedia.org/wiki/Robert_Hofstadter,https://ja.wikipedia.org/wiki/%E3%83%AD%E3%83%90%E3%83%BC%E3%83%88%E3%83%BB%E3%83%9B%E3%83%95%E3%82%B9%E3%82%BF%E3%83%83%E3%82%BF%E3%83%BC,http://commons.wikimedia.org/wiki/Special:FilePath/Robert%20Hofstadter.jpg,男性,1915-02-05T00:00:00Z,1990-11-17T00:00:00Z,アメリカ合衆国
http://www.wikidata.org/entity/Q103844,フランソワーズ・バレ＝シヌシ,2008,ノーベル生理学・医学賞,https://en.wikipedia.org/wiki/Fran%C3%A7oise_Barr%C3%A9-Sinoussi,https://ja.wikipedia.org/wiki/%E3%83%95%E3%83%A9%E3%83%B3%E3%82%BD%E3%83%AF%E3%83%BC%E3%82%BA%E3%83%BB%E3%83%90%E3%83%AC%EF%BC%9D%E3%82%B7%E3%83%8C%E3%82%B7,http://commons.wikimedia.org/wiki/Special:FilePath/Fran%C3%A7oise%20Barr%C3%A9-Sinoussi-press%20conference%20Dec%2006th%2C%202008-1.jpg,女性,1947-07-30T00:00:00Z,,フランス
http://www.wikidata.org/entity/Q104582,ヴィクトル・グリニャール,1912,ノーベル化学賞,https://en.wikipedia.org/wiki/Victor_Grignard,https://ja.wikipedia.org/wiki/%E3%83%B4%E3%82%A3%E3%82%AF%E3%83%88%E3%83%AB%E3%83%BB%E3%82%B0%E3%83%AA%E3%83%8B%E3%83%A3%E3%83%BC%E3%83%AB,http://commons.wikimedia.org/wiki/Special:FilePath/Viktor-grignard%20%28cropped%29.jpg,男性,1871-05-06T00:00:00Z,1935-12-13T00:00:00Z,フランス
http://www.wikidata.org/entity/Q104668,ヴィタリー・ギンツブルク,2003,ノーベル物理学賞,https://en.wikipedia.org/wiki/Vitaly_Ginzburg,https://ja.wikipedia.org/wiki/%E3%83%B4%E3%82%A3%E3%82%BF%E3%83%AA%E3%83%BC%E3%83%BB%E3%82%AE%E3%83%B3%E3%83%84%E3%83%96%E3%83%AB%E3%82%AF,http://commons.wikimedia.org/wiki/Special:FilePath/%D0%92%D0%B8%D1%82%D0%B0%D0%BB%D0%B8%D0%B9%20%D0%9B%D0%B0%D0%B7%D0%B0%D1%80%D0%B5%D0%B2%D0%B8%D1%87%20%D0%93%D0%B8%D0%BD%D0%B7%D0%B1%D1%83%D1%80%D0%B3.jpg,男性,1916-10-04T00:00:00Z,2009-11-08T00:00:00Z,ロシア帝国
http://www.wikidata.org/entity/Q132695,ハリー・マーティンソン,1974,ノーベル文学賞,https://en.wikipedia.org/wiki/Harry_Martinson,https://ja.wikipedia.org/wiki/%E3%83%8F%E3%83%AA%E3%83%BC%E3%83%BB%E3%83%9E%E3%83%BC%E3%83%86%E3%82%A3%E3%83%B3%E3%82%BD%E3%83%B3,http://commons.wikimedia.org/wiki/Special:FilePath/Harry%20Martinson.jpg,男性,1904-05-06T00:00:00Z,1978-01-01T00:00:00Z,スウェーデン
http://www.wikidata.org/entity/Q218311,フランソワ・ジャコブ,1965,ノーベル生理学・医学賞,https://en.wikipedia.org/wiki/Fran%C3%A7ois_Jacob,https://ja.wikipedia.org/wiki/%E3%83%95%E3%83%A9%E3%83%B3%E3%82%BD%E3%83%AF%E3%83%BB%E3%82%B8%E3%83%A3%E3%82%B3%E3%83%96,http://commons.wikimedia.org/wiki/Special:FilePath/Fran%C3%A7ois%20Jacob%20nobel.jpg,男性,1920-06-17T00:00:00Z,2013-04-19T00:00:00Z,フランス
http://www.wikidata.org/entity/Q214209,ピーター・メダワー,1960,ノーベル生理学・医学賞,https://en.wikipedia.org/wiki/Peter_Medawar,https://ja.wikipedia.org/wiki/%E3%83%94%E3%83%BC%E3%82%BF%E3%83%BC%E3%83%BB%E3%83%A1%E3%83%80%E3%83%AF%E3%83%BC,http://commons.wikimedia.org/wiki/Special:FilePath/Peter%20Brian%20Medawar.jpg,男性,1915-02-28T00:00:00Z,1987-10-02T00:00:00Z,アメリカ合衆国
http://www.wikidata.org/entity/Q76373,ジョージ・スミス,2009,ノーベル物理学賞,https://en.wikipedia.org/wiki/George_E._Smith,https://ja.wikipedia.org/wiki/%E3%82%B8%E3%83%A7%E3%83%BC%E3%82%B8%E3%83%BBE%E3%83%BB%E3%82%B9%E3%83%9F%E3%82%B9,http://commons.wikimedia.org/wiki/Special:FilePath/Nobel%20Prize%202009-Press%20Conference%20KVA-27.jpg,男性,1930-05-10T00:00:00Z,,アメリカ合衆国
http://www.wikidata.org/entity/Q206379,カール・ワイマン,2001,ノーベル物理学賞,https://en.wikipedia.org/wiki/Carl_Wieman,https://ja.wikipedia.org/wiki/%E3%82%AB%E3%83%BC%E3%83%AB%E3%83%BB%E3%83%AF%E3%82%A4%E3%83%9E%E3%83%B3,http://commons.wikimedia.org/wiki/Special:FilePath/Carl%20Wieman.jpg,男性,1951-03-26T00:00:00Z,,アメリカ合衆国
http://www.wikidata.org/entity/Q208670,ロビン・ウォレン,2005,ノーベル生理学・医学賞,https://en.wikipedia.org/wiki/Robin_Warren,https://ja.wikipedia.org/wiki/%E3%83%AD%E3%83%93%E3%83%B3%E3%83%BB%E3%82%A6%E3%82%A9%E3%83%AC%E3%83%B3,http://commons.wikimedia.org/wiki/Special:FilePath/Robin%20Warren.jpg,男性,1937-06-11T00:00:00Z,,オーストラリア
http://www.wikidata.org/entity/Q75603,ミゲル・アンヘル・アストゥリアス,1967,ノーベル文学賞,https://en.wikipedia.org/wiki/Miguel_%C3%81ngel_Asturias,https://ja.wikipedia.org/wiki/%E3%83%9F%E3%82%B2%E3%83%AB%E3%83%BB%E3%82%A2%E3%83%B3%E3%83%98%E3%83%AB%E3%83%BB%E3%82%A2%E3%82%B9%E3%83%88%E3%82%A5%E3%83%AA%E3%82%A2%E3%82%B9,http://commons.wikimedia.org/wiki/Special:FilePath/Miguel%20Angel%20Asturias.jpg,男性,1899-10-19T00:00:00Z,1974-06-09T00:00:00Z,グアテマラ
http://www.wikidata.org/entity/Q177681,トーマス・ハント・モーガン,1933,ノーベル生理学・医学賞,https://en.wikipedia.org/wiki/Thomas_Hunt_Morgan,https://ja.wikipedia.org/wiki/%E3%83%88%E3%83%BC%E3%83%9E%E3%82%B9%E3%83%BB%E3%83%8F%E3%83%B3%E3%83%88%E3%83%BB%E3%83%A2%E3%83%BC%E3%82%AC%E3%83%B3,http://commons.wikimedia.org/wiki/Special:FilePath/Thomas%20Hunt%20Morgan.jpg,男性,1866-09-25T00:00:00Z,1945-12-04T00:00:00Z,アメリカ合衆国
http://www.wikidata.org/entity/Q103835,ピーター・デバイ,1936,ノーベル化学賞,https://en.wikipedia.org/wiki/Peter_Debye,https://ja.wikipedia.org/wiki/%E3%83%94%E3%83%BC%E3%82%BF%E3%83%BC%E3%83%BB%E3%83%87%E3%83%90%E3%82%A4,http://commons.wikimedia.org/wiki/Special:FilePath/Debye100.jpg,男性,1884-03-24T00:00:00Z,1966-11-02T00:00:00Z,アメリカ合衆国
http://www.wikidata.org/entity/Q102419,デレック・バートン,1969,ノーベル化学賞,https://en.wikipedia.org/wiki/Derek_Barton,https://ja.wikipedia.org/wiki/%E3%83%87%E3%83%AC%E3%83%83%E3%82%AF%E3%83%BB%E3%83%90%E3%83%BC%E3%83%88%E3%83%B3,,男性,1918-09-08T00:00:00Z,1998-03-16T00:00:00Z,イギリス
http://www.wikidata.org/entity/Q211787,ジュール・ボルデ,1919,ノーベル生理学・医学賞,https://en.wikipedia.org/wiki/Jules_Bordet,https://ja.wikipedia.org/wiki/%E3%82%B8%E3%83%A5%E3%83%BC%E3%83%AB%E3%83%BB%E3%83%9C%E3%83%AB%E3%83%87,http://commons.wikimedia.org/wiki/Special:FilePath/Jules%20Bordet%20nobel.jpg,男性,1870-06-13T00:00:00Z,1961-04-06T00:00:00Z,ベルギー
http://www.wikidata.org/entity/Q181363,ブライアン・ジョゼフソン,1973,ノーベル物理学賞,https://en.wikipedia.org/wiki/Brian_Josephson,https://ja.wikipedia.org/wiki/%E3%83%96%E3%83%A9%E3%82%A4%E3%82%A2%E3%83%B3%E3%83%BB%E3%82%B8%E3%83%A7%E3%82%BC%E3%83%95%E3%82%BD%E3%83%B3,http://commons.wikimedia.org/wiki/Special:FilePath/Brian%20Josephson%2C%20March%202004.jpg,男性,1940-01-04T00:00:00Z,,イギリス
http://www.wikidata.org/entity/Q183270,エドワード・ミルズ・パーセル,1952,ノーベル物理学賞,https://en.wikipedia.org/wiki/Edward_Mills_Purcell,https://ja.wikipedia.org/wiki/%E3%82%A8%E3%83%89%E3%83%AF%E3%83%BC%E3%83%89%E3%83%BB%E3%83%9F%E3%83%AB%E3%82%BA%E3%83%BB%E3%83%91%E3%83%BC%E3%82%BB%E3%83%AB,http://commons.wikimedia.org/wiki/Special:FilePath/Edward%20Mills%20Purcell.jpg,男性,1912-08-30T00:00:00Z,1997-03-07T00:00:00Z,アメリカ合衆国
http://www.wikidata.org/entity/Q184499,パトリック・ブラケット,1948,ノーベル物理学賞,https://en.wikipedia.org/wiki/Patrick_Blackett,https://ja.wikipedia.org/wiki/%E3%83%91%E3%83%88%E3%83%AA%E3%83%83%E3%82%AF%E3%83%BB%E3%83%96%E3%83%A9%E3%82%B1%E3%83%83%E3%83%88,http://commons.wikimedia.org/wiki/Special:FilePath/Blackett.jpg,男性,1897-11-18T00:00:00Z,1974-07-13T00:00:00Z,イギリス
http://www.wikidata.org/entity/Q102830,フレデリック・ソディ,1921,ノーベル化学賞,https://en.wikipedia.org/wiki/Frederick_Soddy,https://ja.wikipedia.org/wiki/%E3%83%95%E3%83%AC%E3%83%87%E3%83%AA%E3%83%83%E3%82%AF%E3%83%BB%E3%82%BD%E3%83%87%E3%82%A3,http://commons.wikimedia.org/wiki/Special:FilePath/Frederick%20Soddy.jpg,男性,1877-09-02T00:00:00Z,1956-09-22T00:00:00Z,イギリス
http://www.wikidata.org/entity/Q178344,ルイス・ウォルター・アルヴァレズ,1968,ノーベル物理学賞,https://en.wikipedia.org/wiki/Luis_Walter_Alvarez,https://ja.wikipedia.org/wiki/%E3%83%AB%E3%82%A4%E3%82%B9%E3%83%BB%E3%82%A6%E3%82%A9%E3%83%AB%E3%82%BF%E3%83%BC%E3%83%BB%E3%82%A2%E3%83%AB%E3%83%B4%E3%82%A1%E3%83%AC%E3%82%BA,http://commons.wikimedia.org/wiki/Special:FilePath/LWA%20Picture%20Final.jpg,男性,1911-06-13T00:00:00Z,1988-09-01T00:00:00Z,アメリカ合衆国
http://www.wikidata.org/entity/Q124013,ディディエ・ケロー,2019,ノーベル物理学賞,https://en.wikipedia.org/wiki/Didier_P._Queloz,https://ja.wikipedia.org/wiki/%E3%83%87%E3%82%A3%E3%83%87%E3%82%A3%E3%82%A8%E3%83%BB%E3%82%B1%E3%83%AD%E3%83%BC,http://commons.wikimedia.org/wiki/Special:FilePath/Didier%20Queloz%20at%20the%20ESO%2050th%20Anniversary%20Gala%20Event%20-%2001.jpg,男性,1966-02-23T00:00:00Z,,スイス
http://www.wikidata.org/entity/Q129173,ヴェルネル・フォン・ハイデンスタム,1916,ノーベル文学賞,https://en.wikipedia.org/wiki/Verner_von_Heidenstam,https://ja.wikipedia.org/wiki/%E3%83%B4%E3%82%A7%E3%83%AB%E3%83%8D%E3%83%AB%E3%83%BB%E3%83%95%E3%82%A9%E3%83%B3%E3%83%BB%E3%83%98%E3%82%A4%E3%83%87%E3%83%B3%E3%82%B9%E3%82%BF%E3%83%A0,http://commons.wikimedia.org/wiki/Special:FilePath/Johan%20Krouth%C3%A9n%20-%20Portr%C3%A4tt%20av%20Verner%20von%20Heidenstam.jpg,男性,1859-07-06T00:00:00Z,1940-05-20T00:00:00Z,スウェーデン
http://www.wikidata.org/entity/Q180350,フレデリック・バンティング,1923,ノーベル生理学・医学賞,https://en.wikipedia.org/wiki/Frederick_Banting,https://ja.wikipedia.org/wiki/%E3%83%95%E3%83%AC%E3%83%87%E3%83%AA%E3%83%83%E3%82%AF%E3%83%BB%E3%83%90%E3%83%B3%E3%83%86%E3%82%A3%E3%83%B3%E3%82%B0,http://commons.wikimedia.org/wiki/Special:FilePath/Fredrick%20banting.jpg,男性,1891-11-14T00:00:00Z,1941-02-21T00:00:00Z,カナダ
http://www.wikidata.org/entity/Q123469,シンクレア・ルイス,1930,ノーベル文学賞,https://en.wikipedia.org/wiki/Sinclair_Lewis,https://ja.wikipedia.org/wiki/%E3%82%B7%E3%83%B3%E3%82%AF%E3%83%AC%E3%82%A2%E3%83%BB%E3%83%AB%E3%82%A4%E3%82%B9,http://commons.wikimedia.org/wiki/Special:FilePath/Sinclair%20Lewis%20by%20Oscar%20Whiite%2C%20Pach%20Brothers%20Studio%2C%20c.%201945%2C%20gelatin%20silver%20print%2C%20from%20the%20National%20Portrait%20Gallery%20-%20NPG-NPG%2093%20388%2023%20%28cropped%29.jpg,男性,1885-02-07T00:00:00Z,1951-01-10T00:00:00Z,アメリカ合衆国
http://www.wikidata.org/entity/Q217486,ウォルター・ギルバート,1980,ノーベル化学賞,https://en.wikipedia.org/wiki/Walter_Gilbert,https://ja.wikipedia.org/wiki/%E3%82%A6%E3%82%A9%E3%83%AB%E3%82%BF%E3%83%BC%E3%83%BB%E3%82%AE%E3%83%AB%E3%83%90%E3%83%BC%E3%83%88,http://commons.wikimedia.org/wiki/Special:FilePath/Walter%20Gilbert%20HD2008%20portrait.JPG,男性,1932-03-21T00:00:00Z,,アメリカ合衆国
http://www.wikidata.org/entity/Q104600,ジャック・W・ショスタク,2009,ノーベル生理学・医学賞,https://en.wikipedia.org/wiki/Jack_W._Szostak,https://ja.wikipedia.org/wiki/%E3%82%B8%E3%83%A3%E3%83%83%E3%82%AF%E3%83%BBW%E3%83%BB%E3%82%B7%E3%83%A7%E3%82%B9%E3%82%BF%E3%82%AF,http://commons.wikimedia.org/wiki/Special:FilePath/Nobel%20Prize%202009-Press%20Conference%20Physiology%20or%20Medicine-16.jpg,男性,1952-11-09T00:00:00Z,,アメリカ合衆国
http://www.wikidata.org/entity/Q180468,セント＝ジェルジ・アルベルト,1937,ノーベル生理学・医学賞,https://en.wikipedia.org/wiki/Albert_Szent-Gy%C3%B6rgyi,https://ja.wikipedia.org/wiki/%E3%82%BB%E3%83%B3%E3%83%88%EF%BC%9D%E3%82%B8%E3%82%A7%E3%83%AB%E3%82%B8%E3%83%BB%E3%82%A2%E3%83%AB%E3%83%99%E3%83%AB%E3%83%88,http://commons.wikimedia.org/wiki/Special:FilePath/GyorgyiNIH.jpg,男性,1893-09-16T00:00:00Z,1986-10-22T00:00:00Z,アメリカ合衆国
http://www.wikidata.org/entity/Q127944,アーサー・コンプトン,1927,ノーベル物理学賞,https://en.wikipedia.org/wiki/Arthur_Compton,https://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%BC%E3%82%B5%E3%83%BC%E3%83%BB%E3%82%B3%E3%83%B3%E3%83%97%E3%83%88%E3%83%B3,http://commons.wikimedia.org/wiki/Special:FilePath/Arthur%20Compton.jpg,男性,1892-09-10T00:00:00Z,1962-03-15T00:00:00Z,アメリカ合衆国
http://www.wikidata.org/entity/Q127234,アルバート・マイケルソン,1907,ノーベル物理学賞,https://en.wikipedia.org/wiki/Albert_A._Michelson,https://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%AB%E3%83%90%E3%83%BC%E3%83%88%E3%83%BB%E3%83%9E%E3%82%A4%E3%82%B1%E3%83%AB%E3%82%BD%E3%83%B3,http://commons.wikimedia.org/wiki/Special:FilePath/Albert%20Abraham%20Michelson.JPG,男性,1852-12-19T00:00:00Z,1931-05-09T00:00:00Z,アメリカ合衆国
http://www.wikidata.org/entity/Q103598,リュック・モンタニエ,2008,ノーベル生理学・医学賞,https://en.wikipedia.org/wiki/Luc_Montagnier,https://ja.wikipedia.org/wiki/%E3%83%AA%E3%83%A5%E3%83%83%E3%82%AF%E3%83%BB%E3%83%A2%E3%83%B3%E3%82%BF%E3%83%8B%E3%82%A8,http://commons.wikimedia.org/wiki/Special:FilePath/Luc%20Montagnier-press%20conference%20Dec%2006th%2C%202008-1%20crop.jpg,男性,1932-08-18T00:00:00Z,2022-02-08T00:00:00Z,フランス
http://www.wikidata.org/entity/Q102266,シドニー・アルトマン,1989,ノーベル化学賞,https://en.wikipedia.org/wiki/Sidney_Altman,https://ja.wikipedia.org/wiki/%E3%82%B7%E3%83%89%E3%83%8B%E3%83%BC%E3%83%BB%E3%82%A2%E3%83%AB%E3%83%88%E3%83%9E%E3%83%B3,http://commons.wikimedia.org/wiki/Special:FilePath/Sidney%20Altman%20crop.jpg,男性,1939-05-07T00:00:00Z,2022-04-05T00:00:00Z,アメリカ合衆国
http://www.wikidata.org/entity/Q206405,ダグラス・D・オシェロフ,1996,ノーベル物理学賞,https://en.wikipedia.org/wiki/Douglas_Osheroff,https://ja.wikipedia.org/wiki/%E3%83%80%E3%82%B0%E3%83%A9%E3%82%B9%E3%83%BBD%E3%83%BB%E3%82%AA%E3%82%B7%E3%82%A7%E3%83%AD%E3%83%95,http://commons.wikimedia.org/wiki/Special:FilePath/Douglas%20Osheroff.jpg,男性,1945-08-01T00:00:00Z,,アメリカ合衆国
http://www.wikidata.org/entity/Q65989,ヴォルフガング・パウリ,1945,ノーベル物理学賞,https://en.wikipedia.org/wiki/Wolfgang_Pauli,https://ja.wikipedia.org/wiki/%E3%83%B4%E3%82%A9%E3%83%AB%E3%83%95%E3%82%AC%E3%83%B3%E3%82%B0%E3%83%BB%E3%83%91%E3%82%A6%E3%83%AA,http://commons.wikimedia.org/wiki/Special:FilePath/ETH-BIB-Pauli%2C%20Wolfgang.tif,男性,1900-04-25T00:00:00Z,1958-12-15T00:00:00Z,オーストリア
http://www.wikidata.org/entity/Q131318,フアン・ラモン・ヒメネス,1956,ノーベル文学賞,https://en.wikipedia.org/wiki/Juan_Ram%C3%B3n_Jim%C3%A9nez,https://ja.wikipedia.org/wiki/%E3%83%95%E3%82%A2%E3%83%B3%E3%83%BB%E3%83%A9%E3%83%A2%E3%83%B3%E3%83%BB%E3%83%92%E3%83%A1%E3%83%8D%E3%82%B9,http://commons.wikimedia.org/wiki/Special:FilePath/JRJimenez.JPG,男性,1881-12-23T00:00:00Z,1958-05-29T00:00:00Z,スペイン
http://www.wikidata.org/entity/Q102291,フランシス・アストン,1922,ノーベル化学賞,https://en.wikipedia.org/wiki/Francis_William_Aston,https://ja.wikipedia.org/wiki/%E3%83%95%E3%83%A9%E3%83%B3%E3%82%B7%E3%82%B9%E3%83%BB%E3%82%A2%E3%82%B9%E3%83%88%E3%83%B3,http://commons.wikimedia.org/wiki/Special:FilePath/Francis%20William%20Aston.jpg,男性,1877-09-01T00:00:00Z,1945-11-20T00:00:00Z,イギリス
